#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,RELOCATIONS,
C0-18-1,1944,1948,1949,0,
C1-76-2,3414,3449,3450,0,
C0-20-2,3525,3525,3526,0,
C1-62-2,3532,3543,3544,0,
C1-87-2,3825,3825,3826,0,
C0-28-2,3868,3868,3869,0,
C1-71-2,3870,3870,3871,0,
C1-70-2,3889,3894,3895,0,
C1-69-2,3929,3929,3930,0,
C1-96-3,4831,4837,4838,0,
C0-16-3,4859,4866,4867,0,
C0-22-3,4917,4968,4969,0,
C1-56-3,4922,4975,4976,0,
C1-74-3,4971,5010,5011,0,
C1-83-3,4988,5010,5011,0,
C0-12-3,5077,5077,5078,0,
C1-75-3,5092,5102,5103,0,
C1-63-3,5099,5102,5103,0,
C2-139-3,5109,5116,5117,0,
C2-118-3,5255,5258,5259,0,
C1-102-3,5292,5292,5293,0,
C1-61-3,5299,5299,5300,0,
C2-140-3,5311,5311,5312,0,
C1-99-3,5376,5376,5377,0,
C0-19-3,5379,5379,5380,0,
C3-165-4,6270,6286,6287,0,
C2-115-4,6271,6293,6294,0,
C2-133-4,6314,6335,6336,0,
C3-147-4,6383,6412,6413,0,
C1-91-4,6421,6461,6462,0,
C1-65-4,6425,6461,6462,0,
C3-195-4,6500,6503,6504,0,
C2-126-4,6573,6580,6581,0,
C1-97-4,6636,6636,6637,0,
C1-80-4,6665,6665,6666,0,
C2-116-4,6708,6712,6713,0,
C2-104-4,6737,6737,6738,0,
C0-30-4,6739,6739,6740,0,
C0-49-4,6745,6752,6753,0,
C0-35-4,6821,6821,6822,0,
C1-59-4,6828,6828,6829,0,
C1-57-4,6837,6837,6838,0,
C2-103-5,7766,7792,7793,0,
C0-41-5,7771,7792,7793,0,
C2-131-5,7815,7862,7863,0,
C2-146-5,7838,7883,7884,0,
C1-90-5,7867,7904,7905,0,
C0-15-5,7938,7953,7954,0,
C4-230-5,8101,8101,8102,0,
C0-36-5,8128,8128,8129,0,
C3-196-5,8151,8151,8152,0,
C1-95-5,8202,8202,8203,0,
C2-144-5,8205,8205,8206,0,
C0-4-5,8216,8216,8217,0,
C1-101-5,8217,8217,8218,0,
C1-55-5,8218,8218,8219,0,
C3-186-6,9129,9129,9130,0,
C1-52-6,9165,9181,9182,0,
C4-211-6,9165,9181,9182,0,
C4-218-6,9244,9244,9245,0,
C2-117-6,9275,9293,9294,0,
C1-67-6,9279,9300,9301,0,
C1-72-6,9324,9328,9329,0,
C4-246-6,9355,9355,9356,0,
C4-241-6,9364,9364,9365,0,
C1-64-6,9376,9376,9377,0,
C0-17-6,9406,9406,9407,0,
C3-178-6,9406,9406,9407,0,
C3-194-6,9432,9432,9433,0,
C5-282-6,9455,9460,9461,0,
C4-235-6,9508,9515,9516,0,
C5-286-6,9647,9647,9648,0,
C0-29-6,9650,9650,9651,0,
C3-185-6,9685,9685,9686,0,
C4-243-6,9693,9698,9699,0,
C6-311-7,10714,10719,10720,0,
C4-212-7,10780,10792,10793,0,
C5-277-7,10801,10806,10807,0,
C2-130-7,10814,10814,10815,0,
C0-33-7,10821,10821,10822,0,
C0-46-7,10839,10843,10844,0,
C6-335-7,10848,10848,10849,0,
C2-129-7,10863,10866,10867,0,
C2-135-7,10884,10889,10890,0,
C4-210-7,10896,10910,10911,0,
C0-25-7,10903,10917,10918,0,
C3-163-7,10944,10944,10945,0,
C3-154-7,10979,10979,10980,0,
C0-27-7,11009,11009,11010,0,
C6-307-7,11047,11047,11048,0,
C5-300-7,11064,11064,11065,0,
C1-93-7,11066,11066,11067,0,
C3-155-7,11094,11094,11095,0,
C5-270-7,11105,11116,11117,0,
C0-26-7,11112,11116,11117,0,
C1-73-7,11114,11116,11117,0,
C6-315-7,11131,11131,11132,0,
C3-187-7,11132,11132,11133,0,
C3-179-7,11158,11158,11159,0,
C4-208-8,12006,12006,12007,0,
C5-291-8,12008,12014,12015,0,
C6-321-8,12027,12035,12036,0,
C5-283-8,12078,12106,12107,0,
C7-363-8,12078,12106,12107,0,
C7-366-8,12102,12113,12114,0,
C5-293-8,12130,12130,12131,0,
C2-145-8,12176,12177,12178,0,
C7-378-8,12185,12185,12186,0,
C3-169-8,12196,12196,12197,0,
C6-342-8,12197,12197,12198,0,
C1-60-8,12198,12198,12199,0,
C7-382-8,12244,12244,12245,0,
C5-269-8,12307,12307,12308,0,
C5-279-8,12338,12338,12339,0,
C4-219-8,12414,12414,12415,0,
C7-345-8,12422,12422,12423,0,
C3-157-8,12444,12444,12445,0,
C3-191-8,12449,12449,12450,0,
C2-105-8,12453,12453,12454,0,
C5-258-8,12476,12479,12480,0,
C2-124-8,12493,12493,12494,0,
C5-278-8,12557,12557,12558,0,
C1-81-8,12583,12588,12589,0,
C1-53-9,13561,13561,13562,0,
C6-318-9,13563,13563,13564,0,
C6-328-9,13604,13617,13618,0,
C1-100-9,13610,13617,13618,0,
C1-89-9,13631,13631,13632,0,
C4-202-9,13638,13638,13639,0,
C1-85-9,13676,13691,13692,0,
C8-422-9,13707,13707,13708,0,
C0-43-9,13708,13708,13709,0,
C8-402-9,13715,13715,13716,0,
C8-427-9,13720,13720,13721,0,
C6-309-9,13731,13731,13732,0,
C4-215-9,13797,13797,13798,0,
C4-249-9,13863,13863,13864,0,
C6-302-9,13880,13880,13881,0,
C7-364-9,13910,13915,13916,0,
C7-344-9,13918,13918,13919,0,
C3-171-9,13943,13943,13944,0,
C3-174-9,13965,13983,13984,0,
C7-365-9,13978,13983,13984,0,
C0-14-9,14026,14026,14027,0,
C5-262-9,14030,14030,14031,0,
C0-38-9,14035,14040,14041,0,
C3-151-10,14934,14941,14942,0,
C0-37-10,14942,14955,14956,0,
C8-414-10,14972,14990,14991,0,
C7-380-10,15013,15018,15019,0,
C7-347-10,15062,15062,15063,0,
C8-429-10,15073,15073,15074,0,
C7-387-10,15075,15075,15076,0,
